group,location,effect_music_1_ovr,effect_music_1_mus,effect_music_1_tot,effect_music_2_ovr,effect_music_2_mus,effect_music_2_tot,effect_music_total,effect_visual_1_ovr,effect_visual_1_vis,effect_visual_1_tot,effect_visual_2_ovr,effect_visual_2_vis,effect_visual_2_tot,effect_visual_total,music_1_comp,music_1_perf,music_1_tot,music_2_comp,music_2_perf,music_2_tot,music_total,visual_1_comp,visual_1_perf,visual_1_tot,visual_2_comp,visual_2_perf,visual_2_tot,visual_total,sub_total,penalties,total,effect_music_1_judge,effect_music_2_judge,effect_visual_1_judge,effect_visual_2_judge,music_1_judge,music_2_judge,visual_1_judge,visual_2_judge,class,date
Panther Creek HS,"Cary, NC",1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,5.0,5.0,5.0,,,,,3.0,3.0,3.0,,,,,3.0,,3.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Hickory HS,"Chesapeake, VA",4.0,3.0,4.0,,,,,2.0,5.0,4.0,,,,,3.0,3.0,3.0,,,,,5.0,6.0,6.0,,,,,4.0,,4.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Chantilly HS,"Chantilly, VA",5.0,5.0,5.0,,,,,5.0,4.0,5.0,,,,,4.0,4.0,4.0,,,,,4.0,4.0,4.0,,,,,5.0,,5.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Mechanicsburg HS,"Mechanicsburg, PA",6.0,6.0,6.0,,,,,6.0,6.0,6.0,,,,,6.0,6.0,6.0,,,,,6.0,5.0,5.0,,,,,6.0,,6.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Freedom HS (VA),"South Riding, VA",7.0,7.0,7.0,,,,,7.0,7.0,7.0,,,,,7.0,7.0,7.0,,,,,7.0,7.0,7.0,,,,,7.0,,7.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Spectre Percussion,"Richmond, VA",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Independent Open,2025-03-08
George Mason University,"Fairfax, VA",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Independent World,2025-03-08
West Shore School District,"Lewisberry, PA",1.0,1.0,1.0,,,,,2.0,3.0,3.0,,,,,1.0,2.0,1.0,,,,,2.0,2.0,2.0,,,,,1.0,,1.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic A,2025-03-08
Lower Dauphin HS,"Hummelstown, PA",3.0,3.0,3.0,,,,,1.0,1.0,1.0,,,,,2.0,1.0,2.0,,,,,3.0,4.0,4.0,,,,,2.0,,2.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic A,2025-03-08
Ocean Lakes HS,"Virginia Beach, VA",2.0,2.0,2.0,,,,,3.0,2.0,2.0,,,,,3.0,4.0,3.0,,,,,1.0,1.0,1.0,,,,,3.0,,3.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic A,2025-03-08
Albemarle County Combined Schools,"Charlottesville, VA",4.0,4.0,4.0,,,,,4.0,4.0,4.0,,,,,4.0,3.0,4.0,,,,,4.0,3.0,3.0,,,,,4.0,,4.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic A,2025-03-08
Central Dauphin HS,"Harrisburg, PA",5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,,5.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic A,2025-03-08
EPIC Indoor Percussion,"Williamsport, PA",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Independent A,2025-03-08
South County Combined Schools,"Lorton, VA",2.0,3.0,3.0,,,,,2.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Thomas Jefferson HS,"Alexandria, VA",3.0,1.0,2.0,,,,,3.0,3.0,3.0,,,,,2.0,1.0,2.0,,,,,2.0,3.0,3.0,,,,,2.0,,2.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Panther Creek HS,"Cary, NC",1.0,2.0,1.0,,,,,1.0,2.0,2.0,,,,,4.0,4.0,4.0,,,,,3.0,2.0,2.0,,,,,3.0,,3.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Hickory HS,"Chesapeake, VA",6.0,5.0,5.0,,,,,5.0,4.0,5.0,,,,,3.0,3.0,3.0,,,,,5.0,5.0,5.0,,,,,4.0,,4.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Chantilly HS,"Chantilly, VA",4.0,4.0,4.0,,,,,4.0,5.0,4.0,,,,,5.0,6.0,5.0,,,,,4.0,4.0,4.0,,,,,5.0,,5.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Mechanicsburg HS,"Mechanicsburg, PA",7.0,6.0,7.0,,,,,6.0,6.0,6.0,,,,,6.0,5.0,6.0,,,,,6.0,6.0,6.0,,,,,6.0,,6.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Freedom HS (VA),"South Riding, VA",5.0,7.0,6.0,,,,,7.0,7.0,7.0,,,,,7.0,7.0,7.0,,,,,7.0,7.0,7.0,,,,,7.0,,7.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Scholastic Open,2025-03-08
Spectre Percussion,"Richmond, VA",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Independent Open,2025-03-08
George Mason University,"Fairfax, VA",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,B. Kuhn,,J. Howell,,J. Merritt,,M. Metz,,Percussion Independent World,2025-03-08
Canyons School District Combined Schools,"Draper, UT",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,1.0,,1.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic A,2025-03-08
Mountain Ridge HS (UT),"Herriman, UT",2.0,2.0,2.0,,,,,2.0,3.0,3.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,2.0,,2.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic A,2025-03-08
Provo City School District,"Provo, UT",3.0,3.0,3.0,,,,,3.0,2.0,2.0,,,,,3.0,4.0,3.0,,,,,3.0,3.0,3.0,,,,,3.0,,3.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic A,2025-03-08
Bingham HS,"South Jordan, UT",4.0,4.0,4.0,,,,,4.0,4.0,4.0,,,,,4.0,3.0,4.0,,,,,5.0,4.0,4.0,,,,,4.0,,4.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic A,2025-03-08
Herriman HS,"Herriman, UT",7.0,7.0,7.0,,,,,6.0,6.0,6.0,,,,,5.0,5.0,5.0,,,,,4.0,5.0,5.0,,,,,5.0,,5.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic A,2025-03-08
Copper Hills HS,"West Jordan, UT",6.0,6.0,6.0,,,,,5.0,5.0,5.0,,,,,6.0,6.0,6.0,,,,,6.0,6.0,6.0,,,,,6.0,,6.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic A,2025-03-08
West Jordan HS,"West Jordan, UT",5.0,5.0,5.0,,,,,7.0,7.0,7.0,,,,,7.0,7.0,7.0,,,,,7.0,7.0,7.0,,,,,7.0,,7.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic A,2025-03-08
North Star Independent,"Idaho Falls, ID",1.0,1.0,1.0,,,,,3.0,3.0,3.0,,,,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,,1.0,,1.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Independent A,2025-03-08
Horizon Percussion,"Provo, UT",3.0,3.0,3.0,,,,,1.0,1.0,1.0,,,,,3.0,2.0,3.0,,,,,1.0,1.0,1.0,,,,,2.0,,2.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Independent A,2025-03-08
Ogden HS,"Ogden, UT",2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,3.0,2.0,,,,,3.0,3.0,3.0,,,,,3.0,,3.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Independent A,2025-03-08
Farmington HS,"Farmington, UT",2.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic Open,2025-03-08
Davis HS,"Kaysville, UT",1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,,2.0,,2.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Scholastic Open,2025-03-08
Rift Percussion,"Pocatello, ID",2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,1.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Independent Open,2025-03-08
Gold Spike Percussion,"Ogden, UT",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,2.0,B. Cappelluti,,M. Stevens,,M. Griffin,,J. Harvey,,Percussion Independent Open,2025-03-08
Westhill HS,"Stamford, CT",1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Cranston Combined Schools,"Cranston, RI",3.0,2.0,2.0,,,,,2.0,3.0,3.0,,,,,3.0,4.0,4.0,,,,,3.0,2.0,2.0,,,,,2.0,,2.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Jordan-Elbridge HS,"Jordan, NY",2.0,3.0,3.0,,,,,3.0,1.0,2.0,,,,,4.0,3.0,3.0,,,,,2.0,3.0,3.0,,,,,3.0,,3.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
New Milford HS,"New Milford, CT",4.0,4.0,4.0,,,,,4.0,4.0,4.0,,,,,2.0,2.0,2.0,,,,,4.0,4.0,4.0,,,,,4.0,,4.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Biddeford BlackOut Percussion,"Biddeford, ME",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Independent A,2025-03-08
Norwalk HS,"Norwalk, CT",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic Open,2025-03-08
Trumbull HS,"Trumbull, CT",2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,2.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic Open,2025-03-08
United Percussion 2,"Voorhees, NJ",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Independent Open,2025-03-08
Dartmouth HS,"Dartmouth, MA",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic World,2025-03-08
United Percussion,"Camden County, NJ",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Independent World,2025-03-08
Westhill HS,"Stamford, CT",1.0,1.0,1.0,,,,,3.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Jordan-Elbridge HS,"Jordan, NY",3.0,5.0,5.0,,,,,1.0,2.0,1.0,,,,,4.0,3.0,3.0,,,,,2.0,1.0,2.0,,,,,2.0,,2.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Cranston Combined Schools,"Cranston, RI",5.0,2.0,3.0,,,,,2.0,4.0,3.0,,,,,5.0,5.0,5.0,,,,,4.0,3.0,3.0,,,,,3.0,,3.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
New Milford HS,"New Milford, CT",2.0,3.0,2.0,,,,,4.0,5.0,4.0,,,,,2.0,2.0,2.0,,,,,6.0,7.0,7.0,,,,,4.0,,4.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Mansfield HS,"Mansfield, MA",4.0,4.0,4.0,,,,,5.0,3.0,5.0,,,,,3.0,4.0,4.0,,,,,5.0,4.0,4.0,,,,,5.0,,5.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Dover HS,"Dover, NH",6.0,6.0,6.0,,,,,6.0,6.0,6.0,,,,,6.0,6.0,6.0,,,,,3.0,5.0,5.0,,,,,6.0,,6.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Dennis-Yarmouth HS,"South Yarmouth, MA",7.0,7.0,7.0,,,,,7.0,8.0,8.0,,,,,7.0,8.0,8.0,,,,,7.0,6.0,6.0,,,,,7.0,,7.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Mohonasen HS,"Rotterdam, NY",8.0,8.0,8.0,,,,,8.0,7.0,7.0,,,,,8.0,7.0,7.0,,,,,8.0,8.0,8.0,,,,,8.0,,8.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic A,2025-03-08
Biddeford BlackOut Percussion,"Biddeford, ME",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Independent A,2025-03-08
Norwalk HS,"Norwalk, CT",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic Open,2025-03-08
Trumbull HS,"Trumbull, CT",2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,2.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic Open,2025-03-08
United Percussion 2,"Voorhees, NJ",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Independent Open,2025-03-08
Dartmouth HS,"Dartmouth, MA",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Scholastic World,2025-03-08
United Percussion,"Camden County, NJ",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,R. Hammond,,J. Shade,,O. Carmenates,,K. Bell,,Percussion Independent World,2025-03-08
Ben Davis HS,"Indianapolis, IN",1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Scholastic A,2025-03-02
Hamilton Southeastern HS,"Fishers, IN",2.0,2.0,2.0,,,,,3.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,3.0,2.0,2.0,,,,,2.0,,2.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Scholastic A,2025-03-02
Hampton Township HS,"Allison Park, PA",4.0,5.0,5.0,,,,,2.0,4.0,3.0,,,,,5.0,5.0,5.0,,,,,4.0,4.0,4.0,,,,,3.0,,3.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Scholastic A,2025-03-02
Kickapoo HS,"Springfield, MO",6.0,6.0,6.0,,,,,4.0,3.0,4.0,,,,,6.0,6.0,6.0,,,,,2.0,3.0,3.0,,,,,4.0,,4.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Scholastic A,2025-03-02
Lawrence Township School District,"Indianapolis, IN",5.0,4.0,4.0,,,,,5.0,5.0,5.0,,,,,3.0,3.0,3.0,,,,,5.0,5.0,5.0,,,,,5.0,,5.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Scholastic A,2025-03-02
Decatur Central HS,"Indianapolis, IN",3.0,3.0,3.0,,,,,6.0,6.0,6.0,,,,,4.0,4.0,4.0,,,,,6.0,6.0,6.0,,,,,6.0,,6.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Scholastic A,2025-03-02
Nomad Indoor,"Lyndora, PA",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Independent A,2025-03-02
IGNITE Winter Percussion,"Shelby County, IN",2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,2.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Independent A,2025-03-02
Fishers HS,"Fishers, IN",2.0,2.0,2.0,,,,,2.0,3.0,3.0,,,,,1.0,2.0,2.0,,,,,1.0,3.0,2.0,,,,,1.0,,1.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Victor J. Andrew HS,"Tinley Park, IL",1.0,1.0,1.0,,,,,4.0,4.0,4.0,,,,,3.0,8.0,4.0,,,,,2.0,1.0,1.0,,,,,2.0,,2.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Noblesville HS,"Noblesville, IN",3.0,4.0,3.0,,,,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,,,,,7.0,7.0,7.0,,,,,3.0,,3.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Greenwood HS,"Greenwood, IN",4.0,5.0,5.0,,,,,5.0,7.0,6.0,,,,,5.0,6.0,6.0,,,,,4.0,2.0,3.0,,,,,4.0,,4.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Greenfield-Central HS,"Greenfield, IN",5.0,3.0,4.0,,,,,7.0,8.0,8.0,,,,,7.0,4.0,5.0,,,,,3.0,4.0,4.0,,,,,5.0,,5.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Zionsville Community HS,"Zionsville, IN",6.0,6.0,6.0,,,,,3.0,2.0,2.0,,,,,4.0,7.0,7.0,,,,,5.0,6.0,6.0,,,,,6.0,,6.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Northview HS,"Brazil, IN",7.0,7.0,7.0,,,,,8.0,5.0,7.0,,,,,9.0,5.0,8.0,,,,,6.0,5.0,5.0,,,,,7.0,,7.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Halls HS,"Knoxville, TN",10.0,11.0,11.0,,,,,6.0,6.0,5.0,,,,,10.0,11.0,11.0,,,,,8.0,9.0,8.0,,,,,8.0,,8.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Goshen HS,"Goshen, IN",9.0,10.0,9.0,,,,,11.0,11.0,11.0,,,,,8.0,3.0,3.0,,,,,9.0,8.0,9.0,,,,,9.0,,9.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Westfield HS (IN),"Westfield, IN",8.0,8.0,8.0,,,,,10.0,10.0,10.0,,,,,11.0,9.0,10.0,,,,,10.0,10.0,10.0,,,,,10.0,,10.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Carroll HS (IN),"Fort Wayne, IN",11.0,9.0,10.0,,,,,9.0,9.0,9.0,,,,,6.0,10.0,9.0,,,,,11.0,11.0,11.0,,,,,11.0,,11.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic Open,2025-03-02
Cap City 2,"Grove City, OH",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Independent Open,2025-03-02
Veritas,"Indianapolis, IN",2.0,3.0,3.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,2.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Independent Open,2025-03-02
Freedom Percussion,"St. Louis, MO",3.0,2.0,2.0,,,,,3.0,3.0,3.0,,,,,3.0,3.0,3.0,,,,,3.0,3.0,3.0,,,,,3.0,,3.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Independent Open,2025-03-02
Pi Percussion Inc.,"Crest Hill, IL",4.0,4.0,4.0,,,,,4.0,4.0,4.0,,,,,4.0,4.0,4.0,,,,,4.0,4.0,4.0,,,,,4.0,,4.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Independent Open,2025-03-02
Crystal Lake Thunder,"Crystal Lake, IL",5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,,5.0,J. Kennedy,,J. Shade,,J. Merritt,,J. McArthur,,Percussion Independent Open,2025-03-02
Avon HS,"Avon, IN",1.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic World,2025-03-02
Center Grove HS,"Greenwood, IN",2.0,3.0,3.0,,,,,2.0,2.0,2.0,,,,,3.0,3.0,3.0,,,,,2.0,2.0,2.0,,,,,2.0,,2.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic World,2025-03-02
Franklin Central HS,"Indianapolis, IN",3.0,1.0,2.0,,,,,4.0,4.0,4.0,,,,,1.0,1.0,1.0,,,,,4.0,4.0,4.0,,,,,3.0,,3.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic World,2025-03-02
Walled Lake Consolidated Schools,"Walled Lake, MI",4.0,4.0,4.0,,,,,3.0,3.0,3.0,,,,,4.0,4.0,4.0,,,,,3.0,3.0,3.0,,,,,4.0,,4.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic World,2025-03-02
Brownsburg HS,"Brownsburg, IN",5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,5.0,5.0,,,,,5.0,,5.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic World,2025-03-02
Kettering Fairmont HS,"Kettering, OH",6.0,6.0,6.0,,,,,6.0,6.0,6.0,,,,,6.0,6.0,6.0,,,,,6.0,6.0,6.0,,,,,6.0,,6.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Scholastic World,2025-03-02
Rhythm X,"Dayton, OH",1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,1.0,,1.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Independent World,2025-03-02
Music City Mystique,"Nashville, TN",3.0,3.0,3.0,,,,,3.0,3.0,3.0,,,,,1.0,2.0,2.0,,,,,3.0,1.0,2.0,,,,,2.0,,2.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Independent World,2025-03-02
Cap City,"Columbus, OH",2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,3.0,4.0,4.0,,,,,2.0,3.0,3.0,,,,,3.0,,3.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Independent World,2025-03-02
ConneXus,"Cincinnati, OH",4.0,4.0,4.0,,,,,4.0,4.0,4.0,,,,,4.0,3.0,3.0,,,,,4.0,4.0,4.0,,,,,4.0,,4.0,M. McIntosh,,M. Stevens,,O. Carmenates,,S. Collins,,Percussion Independent World,2025-03-02
Microphone Test Group - 2,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,E. Argenziano,,J. Yoo,,J. Davila,,K. Kuhn (Corney),,Mic Test Panel 2 - Percussion,2025-03-01
Terry HS,"Rosenberg, TX",1.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,2.0,4.0,4.0,,,,,1.0,,1.0,E. Argenziano,,J. Yoo,,J. Davila,,K. Kuhn (Corney),,Percussion Scholastic A,2025-03-01
